Name,Start,End,Size
scePadSetButtonInfo,0x0010CA18,0x0010CAC8,176
scePadInfoPressMode,0x0010CAC8,0x0010CAD8,16
scePadEnterPressMode,0x0010CB28,0x0010CB38,16
scePadExitPressMode,0x0010CB80,0x0010CB90,16
scePadSetVrefParam,0x0010CBD8,0x0010CCA4,204
scePadGetPortMax,0x0010CCA8,0x0010CD0C,100
scePadGetSlotMax,0x0010CD10,0x0010CD78,104
scePadGetModVersion,0x0010CD78,0x0010CDDC,100
scePadSetWarningLevel,0x0010CDE0,0x0010CE48,104
CB_DelayTh,0x0010CE48,0x0010CE5C,20
sceCdDelayThread,0x0010CE70,0x0010CED8,104
sceCdCallback,0x0010CED8,0x0010CF2C,64
_sceCd_cd_callback,0x0010CF30,0x0010CFD0,160
_Cdvd_cbLoop,0x0010CFD0,0x0010D08C,184
sceCdInitEeCB,0x0010D090,0x0010D164,212
_sceCd_cd_read_intr,0x0010D168,0x0010D208,160
cmd_sem_init,0x0010D208,0x0010D29C,148
cdvd_exit,0x0010D2A0,0x0010D304,92
sceCdPOffCallback,0x0010D320,0x0010D358,56
_sceCd_Poff_Intr,0x0010D390,0x0010D3CC,60
PowerOffCB,0x0010D3D0,0x0010D408,56
sceCdSearchFile,0x0010D558,0x0010D854,752
_sceCd_ncmd_prechk,0x0010D858,0x0010D9C8,364
sceCdNcmdDiskReady,0x0010D9C8,0x0010DA60,140
sceCdSync,0x0010DA60,0x0010DB00,160
sceCdSyncS,0x0010DB00,0x0010DB6C,108
_sceCd_scmd_prechk,0x0010DB70,0x0010DCE0,364
sceCdInit,0x0010DCE0,0x0010DFC0,736
sceCdDiskReady,0x0010DFC0,0x0010E1B8,476
sceCdMmode,0x0010E1B8,0x0010E27C,184
sceMcInit,0x0010E280,0x0010E3B0,268
_lmcGetClientPtr,0x0010E438,0x0010E468,48
sceMcChangeThreadPriority,0x0010E468,0x0010E51C,172
sceMcGetSlotMax,0x0010E520,0x0010E5E0,172
sceMcOpen,0x0010E5E0,0x0010E714,292
sceMcMkdir,0x0010E718,0x0010E74C,52
sceMcClose,0x0010E750,0x0010E804,172
sceMcSeek,0x0010E808,0x0010E8DC,204
mceIntrReadFixAlign,0x0010E8E0,0x0010E970,144
sceMcRead,0x0010E970,0x0010EA8C,276
sceMcWrite,0x0010EA90,0x0010EC0C,296
mcHearAlarm,0x0010EC10,0x0010EC24,20
mcDelayThread,0x0010EC38,0x0010EC7C,68
sceMcSync,0x0010EC80,0x0010ED60,216
mceGetInfoApdx,0x0010ED60,0x0010EDB4,84
sceMcGetInfo,0x0010EDB8,0x0010EF3C,380
sceMcGetDir,0x0010EF40,0x0010F098,328
mceStorePwd,0x0010F098,0x0010F11C,124
sceMcChdir,0x0010F120,0x0010F270,320
sceMcFormat,0x0010F270,0x0010F338,192
sceMcDelete,0x0010F338,0x0010F460,280
sceMcFlush,0x0010F460,0x0010F514,172
sceMcSetFileInfo,0x0010F518,0x0010F6F0,376
sceMcRename,0x0010F6F0,0x0010F858,264
sceMcUnformat,0x0010F858,0x0010F920,192
sceMcGetEntSpace,0x0010F920,0x0010FA38,264
sceSdRemoteInit,0x0010FA38,0x0010FAD8,128
sceSdTransToIOP,0x0010FAF8,0x0010FB68,112
sceSdCallBack,0x0010FB68,0x0010FB74,12
sceSdRemote,0x0010FB78,0x0010FD7C,516
__ieee754_sqrt,0x0010FD80,0x00110084,772
__ieee754_asinf,0x00110088,0x00110424,924
__ieee754_atan2f,0x00110428,0x00110710,744
__ieee754_rem_pio2f,0x00110710,0x00110AF0,988
__ieee754_sqrtf,0x00110AF0,0x00110C28,308
__kernel_rem_pio2f,0x00110C28,0x00111574,2380
__kernel_tanf,0x00111578,0x0011180C,656
fabs,0x00111810,0x00111844,52
isinf,0x00111848,0x00111890,72
isnan,0x00111890,0x001118C8,56
matherr,0x001118C8,0x001118EC,36
atanf,0x001118F0,0x00111B98,676
copysignf,0x00111B98,0x00111BC8,48
fabsf,0x00111BC8,0x00111BE4,28
floorf,0x00111BE8,0x00111CCC,228
isnanf,0x00111CD0,0x00111CF4,36
scalbnf,0x00111CF8,0x00111E58,344
tanf,0x00111E58,0x00111EE0,136
sqrt,0x00111EE0,0x00111FEC,268
asinf,0x00111FF0,0x001120EC,252
atan2f,0x001120F0,0x00112218,296
sqrtf,0x00112218,0x0011232C,276
abort,0x00112330,0x00112350,32
__assert,0x00112350,0x00112384,52
_calloc_r,0x00112388,0x00112444,188
_close_r,0x00112448,0x001124A0,88
quorem,0x001124A0,0x001126B4,400
_dtoa_r,0x001126B8,0x00113884,4416
__errno,0x00113888,0x00113894,12
exit,0x00113898,0x00113948,176
fflush,0x00113948,0x00113A4C,260
std,0x00113A50,0x00113AA8,88
__sfmoreglue,0x00113AA8,0x00113ABC,20
__sfp,0x00113B18,0x00113BF8,224
_cleanup_r,0x00113BF8,0x00113C04,12
_cleanup,0x00113C08,0x00113C14,12
__sinit,0x00113C18,0x00113CA4,140
fiprintf,0x00113CA8,0x00113CDC,52
fprintf,0x00113CE0,0x00113D14,52
_free_r,0x00113D18,0x00114034,796
_malloc_trim_r,0x00114038,0x001141A4,364
_fstat_r,0x001141A8,0x00114204,92
__sfvwrite,0x00114208,0x001145E0,984
_fwalk,0x001145E0,0x00114674,148
_setlocale_r,0x00114678,0x001146FC,132
_localeconv_r,0x00114700,0x0011470C,12
setlocale,0x00114710,0x0011473C,44
localeconv,0x00114740,0x00114764,36
_lseek_r,0x00114768,0x001147C8,96
__smakebuf,0x001147C8,0x00114918,336
malloc_extend_top,0x00114918,0x00114B6C,596
_malloc_r,0x00114B70,0x001152E8,1912
_mbtowc_r,0x001152E8,0x00115324,60
memchr,0x00115328,0x00115408,160
memcmp,0x00115408,0x0011549C,96
memcpy,0x001154A0,0x00115550,88
memmove,0x00115550,0x00115654,168
memset,0x00115658,0x00115718,192
__malloc_lock,0x00115718,0x00115720,8
__malloc_unlock,0x00115720,0x00115728,8
_Balloc,0x00115728,0x001157D0,168
_Bfree,0x001157D0,0x001157FC,44
_multadd,0x00115800,0x00115914,252
_s2b,0x00115918,0x00115A60,328
_hi0bits,0x00115A60,0x00115AE4,132
_lo0bits,0x00115AE8,0x00115BA8,192
_i2b,0x00115BA8,0x00115BE0,56
_multiply,0x00115BE0,0x00115E0C,556
_pow5mult,0x00115E10,0x00115F10,252
_lshift,0x00115F10,0x00116088,376
__mcmp,0x00116088,0x001160F0,104
__mdiff,0x001160F0,0x00116280,400
_ulp,0x00116280,0x00116318,152
_b2d,0x00116318,0x00116494,380
_d2b,0x00116498,0x00116614,380
_ratio,0x00116618,0x001166D8,192
_mprec_log10,0x001166D8,0x00116744,108
_printf_r,0x00116748,0x00116784,60
printf,0x00116788,0x001167D8,80
qsort,0x001167D8,0x001171FC,424
_read_r,0x00117200,0x00117260,96
_sbrk_r,0x00117260,0x001172BC,92
_init_signal_r,0x001172C0,0x00117330,112
_signal_r,0x00117330,0x001173BC,140
_raise_r,0x001173C0,0x001174B0,240
__sigtramp_r,0x001174B0,0x00117568,184
raise,0x00117568,0x00117590,40
signal,0x00117590,0x001175BC,44
_init_signal,0x001175C0,0x001175E4,36
__sigtramp,0x001175E8,0x00117610,40
_kill_r,0x00117610,0x0011766C,92
_getpid_r,0x00117670,0x0011768C,28
_sprintf_r,0x00117690,0x001176F8,104
sprintf,0x001176F8,0x00117768,112
__sread,0x00117768,0x001177CC,100
__swrite,0x001177D0,0x00117850,128
__sseek,0x00117850,0x001178B8,104
__sclose,0x001178B8,0x001178D8,32
strcmp,0x001178D8,0x00117A1C,204
strcpy,0x00117A20,0x00117B34,184
strlen,0x00117B38,0x00117C70,196
strncmp,0x00117C70,0x00117E28,276
strncpy,0x00117E28,0x00117FE4,304
__sprint,0x00117FE8,0x0011802C,68
__sbprintf,0x00118030,0x001180E4,180
vfiprintf,0x001180E8,0x00118160,120
_vfiprintf_r,0x00118160,0x00118D2C,1756
__sprint,0x00118D30,0x00118D74,68
__sbprintf,0x00118D78,0x00118E2C,180
vfprintf,0x00118E30,0x00118EA8,120
_vfprintf_r,0x00118EA8,0x0011A3C0,3628
cvt,0x0011A3C0,0x0011A570,432
exponent,0x0011A570,0x0011A650,224
_write_r,0x0011A650,0x0011A6B0,96
__swsetup,0x0011A6B0,0x0011A7BC,268
__divdi3,0x0011A7C0,0x0011AEAC,1032
__fixunsdfdi,0x0011AEB0,0x0011AF9C,236
__floatdidf,0x0011AFA0,0x0011B038,152
__moddi3,0x0011B038,0x0011B6A0,1028
__muldi3,0x0011B6A0,0x0011B700,96
__udivdi3,0x0011B700,0x0011BCD0,744
__umoddi3,0x0011BCD0,0x0011C210,732
__pack_d,0x0011C210,0x0011C33C,300
__unpack_d,0x0011C340,0x0011C3DC,152
_fpadd_parts,0x0011C3E0,0x0011C620,576
dpadd,0x0011C620,0x0011C678,88
dpsub,0x0011C678,0x0011C6DC,100
dpmul,0x0011C6E0,0x0011C988,680
dpdiv,0x0011C988,0x0011CAF0,356
__fpcmp_parts_d,0x0011CAF0,0x0011CC04,276
dpcmp,0x0011CC08,0x0011CC54,76
litodp,0x0011CC58,0x0011CD10,184
dptoli,0x0011CD10,0x0011CDA4,148
dptoul,0x0011CDA8,0x0011CE48,160
__negdf2,0x0011CE48,0x0011CE80,56
__make_dp,0x0011CE80,0x0011CEAC,44
dptofp,0x0011CEB0,0x0011CF04,84
__pack_f,0x0011CF08,0x0011D014,268
__unpack_f,0x0011D018,0x0011D0A8,144
_fpadd_parts,0x0011D0A8,0x0011D2DC,564
fpadd,0x0011D2E0,0x0011D338,88
fpsub,0x0011D338,0x0011D39C,100
fpmul,0x0011D3A0,0x0011D594,500
fpdiv,0x0011D598,0x0011D6F8,352
__fpcmp_parts_f,0x0011D6F8,0x0011D80C,276
fpcmp,0x0011D810,0x0011D85C,76
sitofp,0x0011D860,0x0011D918,184
fptosi,0x0011D918,0x0011D9A4,140
fptoui,0x0011D9A8,0x0011DA40,152
__negsf2,0x0011DA40,0x0011DA78,56
__make_fp,0x0011DA78,0x0011DAA4,44
fptodp,0x0011DAA8,0x0011DAE8,64
Em10_set_chi,0x0011DAF0,0x0011DAF4,4
Em10_set_chi2,0x0011DBE0,0x0011DC00,32
Em10_set_chi_swd,0x0011DCC0,0x0011DCC4,4
Em10_pl_dm_effect_shotgun,0x0011DDC0,0x0011DDDC,28
Em10_weapon_set_chi,0x0011DE60,0x0011DE64,4
Em10_color_set,0x0011E080,0x0011E0CC,76
Em10_dm_ck,0x0011E0D0,0x0011E0E0,16
Em10_move,0x0011F840,0x0011F844,4
Em10_R0_init,0x0011FAA0,0x0011FAAC,12
Em10_R0_move,0x001202E0,0x00120330,80
Em10_R1_br_wait_sit,0x00120340,0x00120348,8
Em10_R1_wait_sit,0x00120350,0x00120358,8
Em10_R1_br_wait_stand,0x00120660,0x00120668,8
Em10_R1_wait_stand,0x00120670,0x00120674,4
Em10_R1_br_wait_air,0x00120940,0x00120A50,272
Em10_R1_wait_air,0x00120AD0,0x00120AD4,4
Em10_R1_br_fall,0x00120DE0,0x00120DE8,8
Em10_R1_fall,0x00120DF0,0x00120E6C,120
Em10_R1_br_landing,0x00120F00,0x00120F08,8
Em10_R1_landing,0x00120F10,0x00120F14,4
Em10_R1_br_evt_move00,0x00121020,0x00121028,8
Em10_R1_evt_move00,0x00121030,0x00121034,4
Em10_R1_br_evt_move01,0x00121400,0x00121408,8
Em10_R1_evt_move01,0x00121410,0x00121414,4
Em10_act_chk_normal,0x001216A0,0x001216A8,8
Em10_act_chk_stronger,0x00121B80,0x00121B88,8
Em10_act_chk_red,0x001220F0,0x001220F8,8
Em10_act_chk_berserk,0x00122710,0x00122718,8
Em10_act_chk_jumper,0x00122B00,0x00122B08,8
Em10_act_chk_sniper,0x00122FF0,0x00122FF8,8
Em10_act_chk_s_sniper,0x001236D0,0x001236D8,8
Em10_act_chk_screamer,0x00123E00,0x00123E08,8
Em10_act_chk_runner,0x00124420,0x00124428,8
Em10_act_chk_dancer,0x001249A0,0x001249A8,8
Em10_R1_br_walk,0x00124F20,0x00125180,604
Em10_R1_walk,0x00125190,0x00125194,4
Em10_R1_br_evt_walk,0x001255C0,0x001255F4,52
Em10_R1_evt_walk,0x00125600,0x001257C8,376
Em10_R1_br_walk_away,0x001257E0,0x001257E8,8
Em10_R1_walk_away,0x001257F0,0x001257F4,4
Em10_R1_br_run_away,0x00125AA0,0x00125AA8,8
Em10_R1_run_away,0x00125AB0,0x00125AB4,4
Em10_R1_br_catch,0x00125E10,0x00125EBC,168
Em10_R1_catch,0x00125ED0,0x00125F78,92
Em10_R1_br_long_catch,0x00125FE0,0x00126094,180
Em10_R1_long_catch,0x001260B0,0x001262B4,148
Em10_R1_br_catch_front,0x00126300,0x00126308,8
Em10_R1_catch_front,0x00126310,0x00126318,8
Em10_R1_br_catch_back,0x00126B60,0x00126B68,8
Em10_R1_catch_back,0x00126B70,0x00126B78,8
Em10_R1_br_catch_critical,0x001273E0,0x001273E8,8
Em10_R1_catch_critical,0x001273F0,0x001274C4,168
Em10_R1_br_catch_miss,0x001274E0,0x001274E8,8
Em10_R1_catch_miss,0x001274F0,0x001274F4,4
Em10_R1_br_turn,0x001275E0,0x001275E8,8
Em10_R1_turn,0x001275F0,0x001275F4,4
